PLAYER_NAME,AGE,GP,MIN,PTS,REB,AST,STL,BLK,TOV,FG_PCT,FG3_PCT,FT_PCT
Brady Manek,25.0,4,74.87833333333333,51,18,3,1,3,3,0.5,0.381,1.0
Brandin Podziemski,21.0,81,2175.9883333333332,754,471,310,70,16,115,0.439,0.368,0.62
Brandon Boston,22.0,32,345.1716666666667,167,52,13,11,8,24,0.404,0.269,0.697
Brandon Boston,22.0,1,37.583333333333336,34,6,8,3,0,2,0.448,0.111,0.625
Brandon Clarke,27.0,6,134.31833333333333,68,32,9,5,6,3,0.559,0.167,0.143
Brandon Goodwin,28.0,25,965.2133333333334,573,148,224,21,15,71,0.402,0.312,0.797
Brandon Ingram,26.0,64,2102.68,1332,324,363,50,40,163,0.492,0.355,0.801
Brandon McCoy,26.0,8,87.23166666666667,36,31,2,4,2,4,0.484,0.0,0.273
Brandon McCoy,26.0,4,26.075,11,10,1,0,0,3,0.455,0.0,0.5
Brandon Miller,21.0,79,2533.23,1355,349,192,72,46,144,0.436,0.37,0.821
Brandon Rachal,24.0,2,2.7583333333333333,2,0,0,0,0,0,0.5,0.0,0.0
Brandon Randolph,26.0,32,770.2916666666666,350,142,60,41,13,42,0.466,0.25,0.788
Brandon Randolph,26.0,5,88.035,41,13,3,3,0,2,0.359,0.263,0.8
Brandon Slater,24.0,30,614.0733333333334,250,89,27,18,5,22,0.448,0.376,0.8
Brandon Williams,24.0,17,112.87,54,13,17,1,1,7,0.37,0.2,0.647
Brandon Williams,24.0,6,215.955,169,36,43,9,6,14,0.477,0.286,0.875
Brandon Williams,24.0,4,96.455,69,7,14,6,0,6,0.522,0.313,0.727
Braxton Key,27.0,20,59.983333333333334,22,18,9,2,1,1,0.412,0.4,0.75
Braxton Key,27.0,8,290.01666666666665,167,71,40,13,18,21,0.46,0.2,0.735
Braxton Key,27.0,3,57.35,24,16,6,6,2,1,0.444,0.167,0.875
Breanna Stewart,29.0,40,1365.2116666666666,919,371,150,58,63,58,0.465,0.355,0.851
Brendan Adams,24.0,3,23.466666666666665,13,3,2,1,0,1,0.556,0.429,0.0
Brian Bowen II,25.0,19,193.02666666666667,60,44,9,4,2,4,0.434,0.346,0.75
Brian Bowen II,25.0,5,69.43333333333334,24,8,3,1,1,3,0.474,0.222,1.0
Brianna Turner,27.0,40,1051.525,140,253,50,39,44,60,0.65,0.0,0.5
Brice Sensabaugh,20.0,32,584.3633333333333,241,102,55,13,6,47,0.39,0.296,0.902
Brice Sensabaugh,20.0,13,357.445,254,64,36,17,4,35,0.472,0.325,0.722
Bridget Carleton,27.0,38,573.0916666666667,123,89,34,13,3,16,0.345,0.337,0.733
Brionna Jones,28.0,13,411.54,207,106,31,24,7,29,0.571,0.5,0.776
Brittney Griner,33.0,31,855.9466666666667,544,195,68,16,50,66,0.56,0.111,0.772
Brittney Sykes,30.0,40,1251.8533333333332,636,198,153,84,13,96,0.439,0.35,0.797
Brodric Thomas,27.0,10,236.985,98,30,21,19,8,22,0.349,0.316,0.824
Brodric Thomas,27.0,5,102.49166666666666,42,12,6,3,3,6,0.485,0.278,0.714
Brook Lopez,36.0,79,2411.1516666666666,990,409,127,43,189,79,0.485,0.366,0.821
Bruce Brown,27.0,67,1865.3666666666666,726,284,192,59,17,86,0.478,0.323,0.824
Bruno Fernando,25.0,45,682.3033333333333,282,193,46,25,28,44,0.583,0.0,0.667
Bryce Golden,24.0,4,12.45,8,4,0,0,0,1,0.429,0.5,1.0
Bryce Hamilton,23.0,34,1040.7033333333334,612,138,70,40,7,45,0.457,0.367,0.699
Bryce Hamilton,23.0,4,56.97833333333333,25,5,10,2,2,5,0.478,0.5,0.333
Bryce McGowens,21.0,65,1041.8916666666667,375,122,59,22,14,34,0.414,0.323,0.766
Bryce Wills,23.0,25,480.8666666666667,110,86,55,15,13,32,0.388,0.241,0.077
Bryson Warren,19.0,17,333.41,133,26,33,12,6,18,0.378,0.306,0.778
Bryson Williams,26.0,33,837.9116666666666,350,204,59,21,28,32,0.539,0.29,0.761
Bryson Williams,26.0,5,78.115,33,14,6,2,2,7,0.438,0.0,0.714
Buddy Boeheim,24.0,31,919.0366666666666,529,125,62,28,13,25,0.455,0.431,0.909
Buddy Boeheim,24.0,15,139.50166666666667,64,13,4,2,2,1,0.358,0.378,0.75
Buddy Hield,31.0,84,2159.8883333333333,1013,269,236,70,42,103,0.436,0.386,0.881
CJ Elleby,24.0,3,24.173333333333332,10,6,2,1,0,1,0.286,0.4,1.0
CJ McCollum,32.0,66,2158.536666666667,1322,286,305,62,41,110,0.459,0.429,0.827
Cade Cunningham,22.0,62,2074.225,1405,268,464,56,22,212,0.449,0.355,0.869
Caleb Daniels,25.0,31,977.9316666666666,400,164,66,24,24,52,0.434,0.345,0.85
Caleb Daniels,25.0,5,65.02666666666667,24,6,3,2,1,3,0.45,0.417,0.5
Caleb Houstan,21.0,61,869.8716666666667,283,91,31,16,4,19,0.39,0.37,0.824
Caleb Martin,28.0,64,1756.5533333333333,640,281,143,47,29,77,0.431,0.349,0.778
Caleb McConnell,25.0,32,634.795,200,174,70,37,24,47,0.461,0.235,0.608
Caleb McConnell,25.0,5,68.90166666666667,14,19,10,5,3,1,0.318,0.0,0.0
Cam Reddish,24.0,48,984.0616666666666,260,99,48,47,14,31,0.389,0.336,0.759
Cam Thomas,22.0,66,2074.85,1482,214,192,45,16,124,0.442,0.364,0.856
Cam Whitmore,19.0,53,1066.1466666666668,695,211,44,45,20,60,0.453,0.346,0.672
Cameron Johnson,28.0,58,1599.0383333333334,776,251,138,49,15,57,0.446,0.391,0.789
Cameron McGriff,26.0,28,550.755,301,116,17,10,7,20,0.443,0.316,0.898
Cameron Payne,29.0,78,1304.0766666666666,578,117,205,42,11,66,0.432,0.39,0.866
Candace Parker,38.0,18,425.3983333333333,162,97,67,27,16,31,0.465,0.333,0.893
